original_item_id,new_item_id
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
57,56
58,57
59,58
60,59
61,60
62,61
63,62
64,63
65,64
66,65
67,66
68,67
70,68
71,69
72,70
73,71
74,72
75,73
76,74
77,75
79,76
80,77
81,78
82,79
83,80
84,81
85,82
86,83
87,84
88,85
89,86
90,87
91,88
92,89
93,90
94,91
95,92
96,93
97,94
98,95
99,96
100,97
101,98
102,99
103,100
104,101
105,102
107,103
108,104
109,105
110,106
111,107
112,108
113,109
114,110
115,111
116,112
117,113
119,114
120,115
121,116
122,117
123,118
124,119
125,120
127,121
128,122
129,123
130,124
131,125
132,126
133,127
134,128
135,129
136,130
138,131
139,132
140,133
141,134
142,135
143,136
144,137
145,138
146,139
147,140
148,141
149,142
150,143
151,144
152,145
153,146
155,147
156,148
157,149
158,150
159,151
160,152
161,153
162,154
163,155
164,156
165,157
166,158
167,159
168,160
169,161
171,162
172,163
173,164
174,165
175,166
176,167
177,168
178,169
179,170
180,171
182,172
183,173
184,174
185,175
186,176
187,177
188,178
189,179
190,180
191,181
192,182
193,183
194,184
195,185
196,186
197,187
198,188
199,189
200,190
201,191
203,192
204,193
205,194
206,195
207,196
208,197
209,198
210,199
211,200
212,201
213,202
214,203
216,204
217,205
218,206
219,207
220,208
221,209
222,210
223,211
224,212
225,213
226,214
227,215
228,216
